,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_random_state,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,param_criterion,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
4302,0.43868398666381836,0.09802415741225079,0.022194433212280273,0.009291834949403485,69,77,20,6,,gini,False,"{'random_state': 69, 'n_estimators': 77, 'min_samples_split': 20, 'min_samples_leaf': 6, 'max_depth': None, 'criterion': 'gini', 'bootstrap': False}",0.9256198347107438,0.9008264462809917,0.9253112033195021,0.9045643153526971,0.9045643153526971,0.950207468879668,0.9294605809128631,0.91701244813278,0.91701244813278,0.950207468879668,0.9224786529954392,0.016657838921050203,21
3698,0.15212728977203369,0.024685313476936803,0.007840132713317871,0.003499657888589344,69,23,11,3,10,gini,False,"{'random_state': 69, 'n_estimators': 23, 'min_samples_split': 11, 'min_samples_leaf': 3, 'max_depth': 10, 'criterion': 'gini', 'bootstrap': False}",0.9214876033057852,0.8884297520661157,0.9336099585062241,0.9045643153526971,0.9004149377593361,0.9585062240663901,0.9336099585062241,0.9253112033195021,0.9128630705394191,0.9336099585062241,0.9212406981927919,0.019294823315980012,22
72,0.1375415802001953,0.035037707932464954,0.007145047187805176,0.003675668150308342,69,14,31,2,,entropy,False,"{'random_state': 69, 'n_estimators': 14, 'min_samples_split': 31, 'min_samples_leaf': 2, 'max_depth': None, 'criterion': 'entropy', 'bootstrap': False}",0.9256198347107438,0.8884297520661157,0.9128630705394191,0.921161825726141,0.9004149377593361,0.950207468879668,0.9253112033195021,0.9336099585062241,0.921161825726141,0.921161825726141,0.9199941702959432,0.016102030078336733,23
2525,0.632297945022583,0.06797700283897692,0.027384638786315918,0.008945493613719447,69,98,10,4,10,gini,False,"{'random_state': 69, 'n_estimators': 98, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_depth': 10, 'criterion': 'gini', 'bootstrap': False}",0.9132231404958677,0.8966942148760331,0.9253112033195021,0.8962655601659751,0.91701244813278,0.9543568464730291,0.9253112033195021,0.921161825726141,0.9128630705394191,0.9294605809128631,0.9191660093961114,0.015915332215914717,24
2008,0.6422956943511963,0.09468050789033318,0.026274991035461426,0.008439759474140576,69,90,6,4,12,entropy,True,"{'random_state': 69, 'n_estimators': 90, 'min_samples_split': 6, 'min_samples_leaf': 4, 'max_depth': 12, 'criterion': 'entropy', 'bootstrap': True}",0.9132231404958677,0.9008264462809917,0.9128630705394191,0.9045643153526971,0.8879668049792531,0.946058091286307,0.9294605809128631,0.9253112033195021,0.9253112033195021,0.941908713692946,0.9187493570179349,0.017372874902957355,25
2615,0.33272337913513184,0.07001122841459131,0.015835118293762208,0.0070761825360975755,69,43,12,3,10,gini,False,"{'random_state': 69, 'n_estimators': 43, 'min_samples_split': 12, 'min_samples_leaf': 3, 'max_depth': 10, 'criterion': 'gini', 'bootstrap': False}",0.9256198347107438,0.8966942148760331,0.921161825726141,0.9004149377593361,0.9128630705394191,0.946058091286307,0.941908713692946,0.9087136929460581,0.9128630705394191,0.921161825726141,0.9187459277802544,0.015275986516213003,26
1281,0.4501489162445068,0.04254978861754298,0.02050340175628662,0.00691395913272955,69,60,8,8,,gini,False,"{'random_state': 69, 'n_estimators': 60, 'min_samples_split': 8, 'min_samples_leaf': 8, 'max_depth': None, 'criterion': 'gini', 'bootstrap': False}",0.9297520661157025,0.9090909090909091,0.9128630705394191,0.9045643153526971,0.8921161825726142,0.950207468879668,0.921161825726141,0.91701244813278,0.9128630705394191,0.9377593360995851,0.9187390693048936,0.015981274213610126,27
802,0.3105385541915894,0.026429916378867064,0.01417081356048584,0.004678260744266364,69,48,13,6,12,gini,False,"{'random_state': 69, 'n_estimators': 48, 'min_samples_split': 13, 'min_samples_leaf': 6, 'max_depth': 12, 'criterion': 'gini', 'bootstrap': False}",0.9214876033057852,0.8925619834710744,0.921161825726141,0.9004149377593361,0.9087136929460581,0.946058091286307,0.921161825726141,0.921161825726141,0.91701244813278,0.9253112033195021,0.9175045437399266,0.013870645516571384,28
3875,0.4437305688858032,0.029757192808012756,0.01901113986968994,0.003977803378535582,69,71,12,5,10,entropy,False,"{'random_state': 69, 'n_estimators': 71, 'min_samples_split': 12, 'min_samples_leaf': 5, 'max_depth': 10, 'criterion': 'entropy', 'bootstrap': False}",0.9214876033057852,0.8925619834710744,0.9253112033195021,0.9004149377593361,0.9045643153526971,0.950207468879668,0.9253112033195021,0.9128630705394191,0.9087136929460581,0.9294605809128631,0.9170896059805905,0.01590256841653191,29
4451,0.5180372476577759,0.05412133563490639,0.02748761177062988,0.010277122782791739,69,70,14,9,,entropy,False,"{'random_state': 69, 'n_estimators': 70, 'min_samples_split': 14, 'min_samples_leaf': 9, 'max_depth': None, 'criterion': 'entropy', 'bootstrap': False}",0.9214876033057852,0.9049586776859504,0.9253112033195021,0.9004149377593361,0.8921161825726142,0.9336099585062241,0.9294605809128631,0.9087136929460581,0.9087136929460581,0.941908713692946,0.9166695243647338,0.015219432414634299,30
