,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,param_max_iter,param_probability,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
36,0.47774534225463866,0.03285754533406434,0.025999689102172853,0.004856440787267985,0.5,0.01,rbf,10000,True,69,"{'C': 0.5, 'gamma': 0.01, 'kernel': 'rbf', 'max_iter': 10000, 'probability': True, 'random_state': 69}",0.8861283643892339,0.8757763975155279,0.9066390041493776,0.8858921161825726,0.9024896265560166,0.8913851017585458,0.011466733062040308,21
88,0.5667253017425538,0.02991520750243087,0.014927816390991212,0.0005042259149131378,100,0.001,rbf,10000,True,69,"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': 10000, 'probability': True, 'random_state': 69}",0.8778467908902692,0.8737060041407867,0.9107883817427386,0.8900414937759336,0.9004149377593361,0.8905595216618127,0.013800427066006534,22
164,0.7963208675384521,0.013110744272802066,0.01926884651184082,0.004306019752317744,1000,0.0001,rbf,10000,True,69,"{'C': 1000, 'gamma': 0.0001, 'kernel': 'rbf', 'max_iter': 10000, 'probability': True, 'random_state': 69}",0.8612836438923396,0.855072463768116,0.8672199170124482,0.8630705394190872,0.8817427385892116,0.8656778605362405,0.008933531764800327,23
140,0.7129537105560303,0.022374239027891683,0.01641845703125,0.0002982698945597037,600,0.0001,rbf,10000,True,69,"{'C': 600, 'gamma': 0.0001, 'kernel': 'rbf', 'max_iter': 10000, 'probability': True, 'random_state': 69}",0.8592132505175983,0.8467908902691511,0.8713692946058091,0.8630705394190872,0.8713692946058091,0.8623626538834909,0.009111957196511856,24
116,0.561757755279541,0.011428453081969285,0.015748357772827147,0.00033167891273511163,300,0.0001,rbf,10000,True,69,"{'C': 300, 'gamma': 0.0001, 'kernel': 'rbf', 'max_iter': 10000, 'probability': True, 'random_state': 69}",0.84472049689441,0.84472049689441,0.8817427385892116,0.8568464730290456,0.8692946058091287,0.8594649622432412,0.01438454875318721,25
96,0.4713001251220703,0.009711516530050337,0.015892171859741212,0.00011961292596806967,300,scale,rbf,10000,True,69,"{'C': 300, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 10000, 'probability': True, 'random_state': 69}",0.855072463768116,0.8426501035196687,0.8630705394190872,0.8464730290456431,0.8630705394190872,0.8540673350343205,0.008380361818777078,26
120,0.5920538902282715,0.02162405882529734,0.01639585494995117,0.0002496240200489789,600,scale,rbf,10000,True,69,"{'C': 600, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 10000, 'probability': True, 'random_state': 69}",0.8509316770186336,0.8488612836438924,0.8630705394190872,0.8381742738589212,0.8672199170124482,0.8536515381905965,0.010418333672954633,27
144,0.6895380020141602,0.02766509710672956,0.017606639862060548,0.0008009952481924761,1000,scale,rbf,10000,True,69,"{'C': 1000, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 10000, 'probability': True, 'random_state': 69}",0.8509316770186336,0.8405797101449275,0.8651452282157677,0.8443983402489627,0.8630705394190872,0.8528250990094758,0.009811212884591969,28
92,0.5039119243621826,0.03783331982759853,0.019142293930053712,0.0019511371199265077,100,0.0001,rbf,10000,True,69,"{'C': 100, 'gamma': 0.0001, 'kernel': 'rbf', 'max_iter': 10000, 'probability': True, 'random_state': 69}",0.8426501035196687,0.8343685300207039,0.8651452282157677,0.8464730290456431,0.8651452282157677,0.8507564238035101,0.012383039583728097,29
64,0.3234304428100586,0.007463658991984512,0.01654658317565918,0.00024939775894274074,1,0.001,rbf,10000,True,69,"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': 10000, 'probability': True, 'random_state': 69}",0.8467908902691511,0.8322981366459627,0.8609958506224067,0.8402489626556017,0.8630705394190872,0.848680875922442,0.01184723065292233,30
75,0.549160099029541,0.0139980763310746,0.008726835250854492,0.00019737666064351326,100,scale,poly,10000,True,69,"{'C': 100, 'gamma': 'scale', 'kernel': 'poly', 'max_iter': 10000, 'probability': True, 'random_state': 69}",0.8364389233954451,0.8405797101449275,0.8589211618257261,0.8402489626556017,0.8630705394190872,0.8478518594881574,0.010909454428647183,31
72,0.3921388626098633,0.008464968523526037,0.01641502380371094,0.000318511110172426,100,scale,rbf,10000,True,69,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 10000, 'probability': True, 'random_state': 69}",0.8385093167701864,0.8364389233954451,0.8589211618257261,0.8360995850622407,0.8609958506224067,0.846192967535201,0.011288830882738158,32
12,0.559149169921875,0.05447723779416834,0.030652999877929688,0.0015766784640292321,0.1,0.01,rbf,10000,True,69,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf', 'max_iter': 10000, 'probability': True, 'random_state': 69}",0.8385093167701864,0.8302277432712215,0.8547717842323651,0.8340248962655602,0.8672199170124482,0.8449507315103564,0.013928401070015636,33
71,0.3384561061859131,0.001833936703066361,0.00927748680114746,0.00039577669694764237,1,0.0001,poly,10000,True,69,"{'C': 1, 'gamma': 0.0001, 'kernel': 'poly', 'max_iter': 10000, 'probability': True, 'random_state': 69}",0.8343685300207039,0.8219461697722568,0.8568464730290456,0.8278008298755186,0.8609958506224067,0.8403915706639864,0.015686534038456237,34
47,0.3452126502990723,0.010981095434444508,0.011285495758056641,0.0014160788234607478,0.5,0.0001,poly,10000,True,69,"{'C': 0.5, 'gamma': 0.0001, 'kernel': 'poly', 'max_iter': 10000, 'probability': True, 'random_state': 69}",0.8302277432712215,0.8219461697722568,0.8443983402489627,0.8340248962655602,0.8651452282157677,0.8391484755547538,0.014867024461317551,35
40,0.35614862442016604,0.013876742723262434,0.019103050231933594,0.0009476076162522471,0.5,0.001,rbf,10000,True,69,"{'C': 0.5, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': 10000, 'probability': True, 'random_state': 69}",0.8343685300207039,0.8198757763975155,0.8568464730290456,0.8257261410788381,0.8589211618257261,0.8391476164703657,0.015991385857251125,36
99,0.6728309631347656,0.0069701207338655835,0.008777856826782227,0.0001492676252286501,300,scale,poly,10000,True,69,"{'C': 300, 'gamma': 'scale', 'kernel': 'poly', 'max_iter': 10000, 'probability': True, 'random_state': 69}",0.8219461697722568,0.8198757763975155,0.8298755186721992,0.8195020746887967,0.8589211618257261,0.8300241402712988,0.01492659843311485,37
23,0.35024709701538087,0.04383889206193973,0.01211719512939453,0.0011218658633910417,0.1,0.0001,poly,10000,True,69,"{'C': 0.1, 'gamma': 0.0001, 'kernel': 'poly', 'max_iter': 10000, 'probability': True, 'random_state': 69}",0.8240165631469979,0.8095238095238095,0.8340248962655602,0.8112033195020747,0.8506224066390041,0.8258781990154892,0.015263867920586687,38
51,0.28385128974914553,0.0046823270296332585,0.010378408432006835,0.00019307214850306694,1,scale,poly,10000,True,69,"{'C': 1, 'gamma': 'scale', 'kernel': 'poly', 'max_iter': 10000, 'probability': True, 'random_state': 69}",0.8219461697722568,0.8115942028985508,0.8257261410788381,0.8112033195020747,0.8506224066390041,0.8242184479781448,0.01437616466776494,39
68,0.35882568359375,0.0035533714697047053,0.019432640075683592,0.0002470602606671786,1,0.0001,rbf,10000,True,69,"{'C': 1, 'gamma': 0.0001, 'kernel': 'rbf', 'max_iter': 10000, 'probability': True, 'random_state': 69}",0.8178053830227743,0.8053830227743272,0.8195020746887967,0.8132780082987552,0.8402489626556017,0.8192434902880509,0.011585028466484596,40
