,name,ioc,sex,hand,rank,ht,age,tourPlayed,maxAceSvpt,avgDfSvpt,1sv2svWon,bpS_bpF,win_ratio
947,Julien Dubail,BEL,m,R,431.06,186.54,29.0,10,2.21,4.59,58.17,48.3,37.5
948,Jumpei Yamasaki,JPN,m,R,733.0,186.54,22.0,17,5.88,2.61,56.81,51.35,38.24
949,Jung Woong Na,KOR,m,U,1149.0,186.54,26.0,4,1.26,4.39,56.54,52.76,38.46
950,Junri Namigata,JPN,f,R,538.0,173.92,37.0,14,1.16,6.09,49.25,47.67,46.15
951,Jurabek Karimov,UZB,m,U,937.0,186.54,21.0,19,2.63,6.15,57.27,48.71,23.08
952,Jurgen Melzer,AUT,m,L,1530.0,183.0,38.0,32,2.88,4.32,59.39,53.48,55.88
953,Jurgen Zopp,EST,m,R,801.0,190.0,31.0,66,6.24,3.69,59.47,53.59,52.15
954,Jurij Rodionov,AUT,m,L,131.0,186.54,22.0,69,8.39,3.76,60.32,57.55,55.79
955,Justin Boulais,CAN,m,U,1276.0,186.54,18.0,6,3.53,7.76,56.94,54.39,31.25
956,Kacper Zuk,POL,m,R,163.0,186.54,22.0,27,10.15,3.98,63.94,56.01,56.76
957,Kai Breitbach,GER,m,U,1530.0,186.54,21.0,1,0.73,9.83,52.49,25.37,33.33
958,Kai Chen Chang,TPE,f,R,987.0,167.0,27.0,18,2.37,9.4,52.99,51.93,47.83
959,Kai Lemstra,GER,m,U,1284.0,186.54,20.0,4,1.32,4.5,56.83,59.23,14.29
960,Kai Lin Zhang,CHN,f,R,928.0,173.92,29.0,22,1.2,8.33,50.57,45.26,45.9
961,Kaichi Uchida,JPN,m,R,339.0,186.54,27.0,79,7.84,4.89,59.72,57.32,39.66
962,Kaito Itsusaki,JPN,m,U,524.6,186.54,20.0,2,1.27,0.72,50.01,48.95,20.0
963,Kaito Uesugi,JPN,m,U,795.65,186.54,23.0,8,2.8,5.74,54.97,47.02,46.15
964,Kaja Juvan,SLO,f,R,98.0,170.0,20.0,39,6.88,2.81,56.23,54.94,54.55
965,Kamil Majchrzak,POL,m,R,118.0,186.54,25.0,94,9.39,3.62,61.25,55.56,57.99
966,Kamilla Rakhimova,RUS,f,R,118.0,173.92,19.0,19,1.81,5.23,54.63,53.21,48.78
967,Karim Mohamed Maamoun,EGY,m,R,478.0,186.54,28.0,38,3.5,5.12,57.79,49.34,40.0
968,Karin Knapp,ITA,f,R,97.39,180.0,29.0,12,5.83,8.96,50.32,44.13,33.33
969,Karl Friberg,SWE,m,R,776.0,186.54,19.0,5,1.39,5.23,51.36,56.76,27.27
970,Karman Thandi,IND,f,U,528.0,173.92,23.0,20,6.76,9.8,46.73,52.81,33.33
971,Karol Drzewiecki,POL,m,R,1821.0,186.54,25.0,10,6.23,7.82,55.27,58.07,16.67
972,Karolina Muchova,CZE,f,R,29.0,178.0,24.0,30,6.44,2.96,59.49,56.71,66.04
973,Karolina Pliskova,CZE,f,R,3.0,184.0,29.0,41,13.02,5.32,60.07,57.63,69.71
974,Karue Sell,BRA,m,R,1418.0,186.54,24.0,9,2.35,4.15,61.53,50.45,59.09
975,Katarina Zavatska,UKR,f,R,171.0,173.92,21.0,33,3.66,4.05,51.36,50.24,40.26
976,Katarzyna Kawa,POL,f,R,159.0,173.92,28.0,26,2.88,6.49,48.78,48.68,40.0
977,Katarzyna Piter,POL,f,R,469.0,173.92,30.0,25,1.36,3.78,51.08,46.07,35.71
978,Katerina Siniakova,CZE,f,R,52.0,174.0,25.0,57,6.99,5.55,54.51,48.88,53.76
979,Katerina Stewart,USA,f,R,331.0,173.92,24.0,6,1.65,5.92,48.99,45.44,14.29
980,Katharina Gerlach,GER,f,R,248.0,173.92,23.0,13,3.01,9.1,50.44,48.75,32.14
981,Katharina Hobgarski,GER,f,R,338.0,173.92,24.0,8,1.95,5.58,50.81,47.14,30.0
982,Katharina Lehnert,GER,f,R,394.6,173.92,23.0,10,0.06,8.08,56.27,54.09,50.0
983,Katherine Sebov,CAN,f,U,337.0,173.92,22.0,17,1.87,5.15,49.05,49.98,39.29
984,Kathinka Von Deichmann,LIE,f,R,329.0,173.92,26.0,17,1.97,6.2,52.87,54.73,44.12
985,Katie Swan,GBR,f,R,274.0,170.0,22.0,12,9.03,6.51,54.66,49.33,38.71
986,Katie Volynets,USA,f,U,179.0,173.92,19.0,16,2.44,4.56,51.7,45.09,29.63
987,Katrina Scott,USA,f,R,416.0,173.92,17.0,6,3.22,6.49,54.97,46.49,41.67
